periodo_dt,periodo,plataforma,total_posts,engagement_total,engagement_promedio,controversia_total,viralidad_promedio,semana_label
2026-05-18 17:06:50.657,2026-W21,facebook,1,783,783.0,0,0.0,2026-05-18
2026-05-18 17:06:50.658,2026-W21,facebook,2,26268,13134.0,0,0.0,2026-05-18
2026-05-18 17:06:59.176,2026-W21,facebook,1,92042,92042.0,0,0.0,2026-05-18
2026-05-18 17:06:59.177,2026-W21,facebook,1,3416,3416.0,0,0.0,2026-05-18
2026-05-18 17:07:07.603,2026-W21,facebook,1,3043,3043.0,0,0.0,2026-05-18
2026-05-18 17:07:07.604,2026-W21,facebook,1,3706,3706.0,0,0.0,2026-05-18
2026-05-18 17:07:07.605,2026-W21,facebook,1,915,915.0,0,0.0,2026-05-18
2026-05-18 17:07:18.995,2026-W21,facebook,1,5200,5200.0,0,0.0,2026-05-18
2026-05-18 17:07:19.019,2026-W21,facebook,1,481,481.0,0,0.0,2026-05-18
2026-05-18 17:07:19.020,2026-W21,facebook,1,525,525.0,0,0.0,2026-05-18
2026-05-25 15:58:38.252,2026-W22,facebook,1,0,0.0,0,0.0,2026-05-25
2026-05-25 15:58:43.194,2026-W22,facebook,1,5,5.0,0,0.0,2026-05-25
2026-05-25 16:51:06.220,2026-W22,facebook,2,53600,26800.0,0,0.0,2026-05-25
2026-05-25 16:51:10.941,2026-W22,facebook,1,2808,2808.0,0,0.0,2026-05-25
2026-05-25 16:51:10.942,2026-W22,facebook,1,16270,16270.0,0,0.0,2026-05-25
2026-05-25 16:51:10.943,2026-W22,facebook,1,756,756.0,0,0.0,2026-05-25
2026-05-25 16:51:15.369,2026-W22,facebook,1,863,863.0,0,0.0,2026-05-25
2026-05-25 16:51:15.370,2026-W22,facebook,2,181499,90749.5,0,0.0,2026-05-25
2026-05-25 16:51:19.371,2026-W22,facebook,2,1509,754.5,0,0.0,2026-05-25
2026-05-25 16:51:23.663,2026-W22,facebook,1,10200,10200.0,0,0.0,2026-05-25
2026-05-25 16:51:27.892,2026-W22,facebook,1,941,941.0,0,0.0,2026-05-25
2026-05-25 16:51:27.893,2026-W22,facebook,1,7885,7885.0,0,0.0,2026-05-25
2026-05-25 16:51:32.193,2026-W22,facebook,2,348800,174400.0,0,0.0,2026-05-25
2026-05-25 16:51:36.791,2026-W22,facebook,2,2758,1379.0,0,0.0,2026-05-25
2026-05-25 16:51:36.792,2026-W22,facebook,1,69014,69014.0,0,0.0,2026-05-25
2026-05-25 16:51:36.793,2026-W22,facebook,1,1212,1212.0,0,0.0,2026-05-25
2026-05-25 16:51:41.506,2026-W22,facebook,2,936,468.0,0,0.0,2026-05-25
2026-05-25 16:51:47.986,2026-W22,facebook,1,1731,1731.0,0,0.0,2026-05-25
2026-05-25 16:51:47.987,2026-W22,facebook,1,3300,3300.0,0,0.0,2026-05-25
2026-05-25 16:51:54.367,2026-W22,facebook,1,93129,93129.0,0,0.0,2026-05-25
2026-05-25 16:51:58.783,2026-W22,facebook,1,14000,14000.0,0,0.0,2026-05-25
2026-05-25 16:52:04.295,2026-W22,facebook,1,5286,5286.0,0,0.0,2026-05-25
2026-05-25 16:52:16.398,2026-W22,facebook,1,753,753.0,0,0.0,2026-05-25
2026-05-25 16:52:16.399,2026-W22,facebook,2,3157,1578.5,0,0.0,2026-05-25
2026-05-25 16:52:21.796,2026-W22,facebook,1,320,320.0,0,0.0,2026-05-25
2026-05-25 16:52:26.947,2026-W22,facebook,1,1076,1076.0,0,0.0,2026-05-25
2026-05-25 16:52:34.528,2026-W22,facebook,1,1585,1585.0,0,0.0,2026-05-25
2026-05-25 16:52:34.529,2026-W22,facebook,1,3700,3700.0,0,0.0,2026-05-25
2026-05-25 16:52:40.235,2026-W22,facebook,1,669,669.0,0,0.0,2026-05-25
2026-05-25 16:52:40.236,2026-W22,facebook,1,990,990.0,0,0.0,2026-05-25
2026-05-25 16:53:05.723,2026-W22,facebook,1,1196,1196.0,0,0.0,2026-05-25
2026-05-25 16:53:14.873,2026-W22,facebook,1,2949,2949.0,0,0.0,2026-05-25
2026-05-25 16:53:14.874,2026-W22,facebook,1,551,551.0,0,0.0,2026-05-25
2026-05-25 16:53:22.218,2026-W22,facebook,2,21869,10934.5,0,0.0,2026-05-25
2026-05-25 16:53:33.810,2026-W22,facebook,1,2196,2196.0,0,0.0,2026-05-25
2026-05-25 16:53:33.811,2026-W22,facebook,2,6642,3321.0,0,0.0,2026-05-25
2026-05-25 16:53:41.516,2026-W22,facebook,1,469,469.0,0,0.0,2026-05-25
2026-05-25 16:53:47.296,2026-W22,facebook,1,513004,513004.0,0,0.0,2026-05-25
2026-05-25 16:53:47.298,2026-W22,facebook,1,1526,1526.0,0,0.0,2026-05-25
2026-05-25 16:53:47.299,2026-W22,facebook,1,99,99.0,0,0.0,2026-05-25
2026-05-25 16:53:53.402,2026-W22,facebook,2,2249,1124.5,0,0.0,2026-05-25
2026-05-25 16:53:59.880,2026-W22,facebook,1,889,889.0,0,0.0,2026-05-25
2026-05-25 16:53:59.881,2026-W22,facebook,1,347006,347006.0,0,0.0,2026-05-25
2026-05-25 16:53:59.882,2026-W22,facebook,1,1693,1693.0,0,0.0,2026-05-25
2026-05-25 16:53:59.883,2026-W22,facebook,2,2422,1211.0,0,0.0,2026-05-25
2026-05-25 16:54:06.319,2026-W22,facebook,1,1885,1885.0,0,0.0,2026-05-25
2026-05-25 16:54:06.320,2026-W22,facebook,2,186023,93011.5,0,0.0,2026-05-25
2026-05-25 16:54:13.429,2026-W22,facebook,1,2615,2615.0,0,0.0,2026-05-25
2026-05-25 16:54:13.431,2026-W22,facebook,1,2820,2820.0,0,0.0,2026-05-25
2026-05-25 16:54:20.375,2026-W22,facebook,1,2263,2263.0,0,0.0,2026-05-25
2026-05-25 16:54:20.376,2026-W22,facebook,2,568012,284006.0,0,0.0,2026-05-25
2026-05-25 16:54:20.378,2026-W22,facebook,1,1197,1197.0,0,0.0,2026-05-25
2026-05-25 16:54:27.274,2026-W22,facebook,2,2777,1388.5,0,0.0,2026-05-25
2026-05-25 16:56:03.222,2026-W22,facebook,1,13400,13400.0,0,0.0,2026-05-25
2026-05-25 16:56:10.134,2026-W22,facebook,1,412,412.0,0,0.0,2026-05-25
2026-05-25 16:56:35.213,2026-W22,facebook,1,1974,1974.0,0,0.0,2026-05-25
2026-05-25 16:56:35.220,2026-W22,facebook,1,4605,4605.0,0,0.0,2026-05-25
2026-05-25 16:56:40.535,2026-W22,facebook,2,401,200.5,0,0.0,2026-05-25
2026-05-25 16:56:46.719,2026-W22,facebook,1,0,0.0,0,0.0,2026-05-25
2026-05-25 16:56:46.720,2026-W22,facebook,1,144,144.0,0,0.0,2026-05-25
2026-05-25 16:56:54.262,2026-W22,facebook,2,6549,3274.5,0,0.0,2026-05-25
2026-05-25 16:57:01.288,2026-W22,facebook,1,286003,286003.0,0,0.0,2026-05-25
2026-05-25 16:57:01.289,2026-W22,facebook,1,2806,2806.0,0,0.0,2026-05-25
2026-05-25 16:59:45.217,2026-W22,facebook,2,1814,907.0,0,0.0,2026-05-25
2026-05-25 16:59:52.566,2026-W22,facebook,2,11073,5536.5,0,0.0,2026-05-25
2026-05-25 17:00:06.037,2026-W22,facebook,1,283,283.0,0,0.0,2026-05-25
2026-05-25 17:00:06.038,2026-W22,facebook,1,1349,1349.0,0,0.0,2026-05-25
2026-05-25 17:00:06.039,2026-W22,facebook,1,3200,3200.0,0,0.0,2026-05-25
2026-05-25 17:00:13.230,2026-W22,facebook,1,1614,1614.0,0,0.0,2026-05-25
2026-05-25 17:00:13.231,2026-W22,facebook,1,179100,179100.0,0,0.0,2026-05-25
2026-05-25 17:00:18.557,2026-W22,facebook,1,7750,7750.0,0,0.0,2026-05-25
2026-05-25 17:00:18.558,2026-W22,facebook,2,4056,2028.0,0,0.0,2026-05-25
2026-05-25 17:00:18.559,2026-W22,facebook,1,1320,1320.0,0,0.0,2026-05-25
2026-05-25 17:00:25.051,2026-W22,facebook,1,428,428.0,0,0.0,2026-05-25
2026-05-25 17:00:25.052,2026-W22,facebook,1,2652,2652.0,0,0.0,2026-05-25
2026-05-25 17:00:32.880,2026-W22,facebook,1,529,529.0,0,0.0,2026-05-25
